"codigo";"instituicao";"municipio";"uf"
"002565";"ABEU - CENTRO UNIVERSITÁRIO (UNIABEU)";"Belford Roxo";"RJ"
"021095";"Academia Militar das Agulhas Negras (AMAN)";"Resende";"RJ"
"003756";"ALFA - Faculdade de Almenara";"Almenara";"MG"
"018520";"ALFA - Faculdade de Araçuai (ALFA-Araçuai)";"Araçuaí";"MG"
"018692";"ALFA - Faculdade de Guanhães (ALFA - Gunhães)";"Guanhães";"MG"
"019853";"ATOPP BRASIL FACULDADE DE NEGÓCIOS (ATOPP BRASIL)";"Londrina";"PR"
"001636";"CASTELLI ESCOLA SUPERIOR DE HOTELARIA (CASTELLI ESH)";"Canela";"RS"
"004053";"CENTRO DE EDUCAÇÃO SUPERIOR BARNABITA (CESB)";"Belo Horizonte";"MG"
"001138";"CENTRO DE EDUCAÇÃO SUPERIOR DE BLUMENAU (CESBLU)";"Blumenau";"SC"
"000031";"CENTRO DE EDUCAÇÃO TÉCNICA DA UTRAMIG (UTRAMIG)";"Belo Horizonte";"MG"
"000073";"CENTRO DE ENSINO SUPERIOR DE ARCOVERDE (CESA)";"Arcoverde";"PE"
"000754";"CENTRO DE ENSINO SUPERIOR DE CATALÃO (CESUC)";"Catalão";"GO"
"003488";"Centro de Ensino Superior de Conselheiro Lafaiete (CES-CL)";"Conselheiro Lafaiete";"MG"
"002771";"CENTRO DE ENSINO SUPERIOR DE ILHÉUS (CESUPI)";"Ilhéus";"BA"
"000755";"CENTRO DE ENSINO SUPERIOR DE JATAÍ (CESUT)";"Jataí";"GO"
"000337";"CENTRO DE ENSINO SUPERIOR DE JUIZ DE FORA (CES/JF)";"Juiz de Fora";"MG"
"021892";"CENTRO DE ENSINO SUPERIOR DE PALMAS (CESUP)";"Palmas";"TO"
"004166";"CENTRO DE ENSINO SUPERIOR DE UBERABA (CESUBE)";"Uberaba";"MG"
"000490";"CENTRO DE ENSINO SUPERIOR DE VALENÇA (CESVA)";"Valença";"RJ"
"001159";"CENTRO DE ENSINO SUPERIOR DE VITÓRIA (CESV)";"Vitória";"ES"
"000861";"CENTRO DE ENSINO SUPERIOR DO AMAPÁ (CEAP)";"Macapá";"AP"
"000749";"CENTRO DE ENSINO SUPERIOR DO VALE DO PARNAÍBA (CESVALE)";"Teresina";"PI"
"000674";"CENTRO DE ENSINO SUPERIOR DO VALE SÃO FRANCISCO (CESVASF)";"Belém de São Francisco";"PE"
"015351";"Centro de Ensino Superior Riograndense Marau CESURG";"Marau";"RS"
"018034";"Centro de Ensino Superior Riograndese (CESURG)";"Sarandi";"RS"
"015508";"Centro de Ensino Unificado do Piauí (CEUPI)";"Teresina";"PI"
"001977";"CENTRO DE ESTUDOS SUPERIORES APRENDIZ (CESA)";"Barbacena";"MG"
"000593";"CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA (CEFET/RJ)";"Rio de Janeiro";"RJ"
"000594";"CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS (CEFET/MG)";"Belo Horizonte";"MG"
"001230";"CENTRO REGIONAL UNIVERSITÁRIO DE ESPÍRITO SANTO DO PINHAL (UNIPINHAL)";"Espírito Santo do Pinhal";"SP"
"003972";"CENTRO SUPERIOR DE ENSINO E PESQUISA DE MACHADO (CESEP)";"Machado";"MG"
"017014";"CENTRO SUPERIOR DE ESTUDOS JURÍDICOS CARLOS DRUMMOND DE ANDRADE (CSEJCDA)";"São Paulo";"SP"
"000810";"CENTRO TÉCNICO-EDUCACIONAL SUPERIOR DO OESTE PARANAENSE (CTESOP)";"Assis Chateaubriand";"PR"
"018064";"CENTRO TECNOLÓGICO POSITIVO (CTPositivo)";"Curitiba";"PR"
"001365";"CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO (UNASP)";"São Paulo";"SP"
"000213";"CENTRO UNIVERSITÁRIO ÁLVARES PENTEADO (FECAP)";"São Paulo";"SP"
"001493";"CENTRO UNIVERSITÁRIO ALVES FARIA (ALFA)";"Goiânia";"GO"
"001225";"CENTRO UNIVERSITÁRIO AMPARENSE (UNIFIA)";"Amparo";"SP"
"001045";"CENTRO UNIVERSITÁRIO ANHANGÜERA (UNIFIAN)";"Leme";"SP"
"000926";"CENTRO UNIVERSITÁRIO ANHANGUERA DE CAMPO GRANDE";"Campo Grande";"MS"
"000515";"CENTRO UNIVERSITÁRIO ANHANGUERA DE NITERÓI (UNIAN-RJ)";"Niterói";"RJ"
"000242";"CENTRO UNIVERSITÁRIO ANHANGUERA DE SANTO ANDRÉ (UNIA)";"Santo André";"SP"
"000376";"CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO";"São Paulo";"SP"
"001841";"CENTRO UNIVERSITÁRIO ANTÔNIO EUFRÁSIO DE TOLEDO DE PRESIDENTE PRUDENTE - TOLEDO PRUDENTE (TOLEDO PRUDENTE)";"Presidente Prudente";"SP"
"001336";"CENTRO UNIVERSITÁRIO ASSIS GURGACZ (FAG)";"Cascavel";"PR"
"000161";"CENTRO UNIVERSITÁRIO ASSUNÇÃO (UNIFAI)";"São Paulo";"SP"
"000277";"CENTRO UNIVERSITÁRIO AUGUSTO MOTTA (UNISUAM)";"Rio de Janeiro";"RJ"
"003602";"CENTRO UNIVERSITÁRIO AUTÔNOMO DO BRASIL (UNIBRASIL)";"Curitiba";"PR"
"000138";"CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ (CBM)";"Ribeirão Preto";"SP"
"004163";"CENTRO UNIVERSITÁRIO BARRIGA VERDE (UNIBAVE)";"Orleans";"SC"
"019551";"CENTRO UNIVERSITÁRIO BARRIGA VERDE / UNIBAVE Cocal do Sul (UNIBAVE)";"Cocal do Sul";"SC"
"000162";"CENTRO UNIVERSITÁRIO BELAS ARTES DE SÃO PAULO (FEBASP)";"São Paulo";"SP"
"004702";"CENTRO UNIVERSITÁRIO BRASILEIRO (UNIBRA)";"Recife";"PE"
"000526";"CENTRO UNIVERSITÁRIO BRAZ CUBAS";"Mogi das Cruzes";"SP"
"001273";"Centro Universitário Campo Limpo Paulista (UNIFACCAMP)";"Campo Limpo Paulista";"SP"
"001232";"CENTRO UNIVERSITÁRIO CAMPOS DE ANDRADE (UNIANDRADE)";"Curitiba";"PR"
"001100";"Centro Universitário Carlos Drummond de Andrade (UniDrummond)";"São Paulo";"SP"
"002135";"CENTRO UNIVERSITÁRIO CATÓLICA DE QUIXADÁ";"Quixadá";"CE"
"000645";"Centro Universitário - Católica de Santa Catarina em Jaraguá do Sul (Católica em Jaraguá )";"Jaraguá do Sul";"SC"
"017138";"Centro Universitário - Católica de Santa Catarina em Joinville (Católica em Joinvile)";"Joinville";"SC"
"001494";"CENTRO UNIVERSITÁRIO CATÓLICO DE VITÓRIA";"Vitória";"ES"
"004522";"CENTRO UNIVERSITÁRIO CATÓLICO SALESIANO AUXILIUM (UNISALESIANO)";"Lins";"SP"
"000522";"CENTRO UNIVERSITÁRIO CELSO LISBOA (UCL)";"Rio de Janeiro";"RJ"
"000626";"CENTRO UNIVERSITÁRIO CENECISTA DE OSÓRIO (UNICNEC)";"Osório";"RS"
"000707";"CENTRO UNIVERSITÁRIO CENTRAL PAULISTA (UNICEP)";"São Carlos";"SP"
"000621";"CENTRO UNIVERSITÁRIO CESMAC (CESMAC)";"Maceió";"AL"
"002147";"Centro Universitário CEUNI - FAMETRO (FAMETRO)";"Manaus";"AM"
"001895";"CENTRO UNIVERSITÁRIO CHRISTUS (UNICHRISTUS)";"Fortaleza";"CE"
"000135";"CENTRO UNIVERSITÁRIO CLARETIANO (CEUCLAR)";"Batatais";"SP"
"001419";"CENTRO UNIVERSITÁRIO CURITIBA (UNICURITIBA)";"Curitiba";"PR"
"000757";"Centro Universitário da Amazônia (Unama)";"Santarém";"PA"
"003641";"CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL DE BARRETOS (UNIFEB)";"Barretos";"SP"
"003875";"CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL GUAXUPÉ (UNIFEG)";"Guaxupé";"MG"
"001878";"CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL INACIANA PE SABÓIA DE MEDEIROS (FEI)";"São Bernardo do Campo";"SP"
"000673";"CENTRO UNIVERSITÁRIO DA GRANDE DOURADOS (UNIGRAN)";"Dourados";"MS"
"001294";"Centro Universitário das Américas (CAM)";"São Paulo";"SP"
"001427";"CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA (FSG)";"Caxias do Sul";"RS"
"000217";"CENTRO UNIVERSITÁRIO DAS FACULDADES ASSOCIADAS DE ENSINO - FAE (UNIFAE)";"São João da Boa Vista";"SP"
"000374";"CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS (FMU)";"São Paulo";"SP"
"001292";"Centro Universitário de Adamantina (FAI)";"Adamantina";"SP"
"000384";"CENTRO UNIVERSITÁRIO DE ANÁPOLIS (UNIEVANGÉLICA)";"Anápolis";"GO"
"000125";"CENTRO UNIVERSITÁRIO DE ARARAS - (UNAR)";"Araras";"SP"
"000514";"CENTRO UNIVERSITÁRIO DE BARRA MANSA (UBM)";"Barra Mansa";"RJ"
"000997";"Centro Universitário de Bauru";"Bauru";"SP"
"000349";"CENTRO UNIVERSITÁRIO DE BELO HORIZONTE (UNI-BH)";"Belo Horizonte";"MG"
"000402";"CENTRO UNIVERSITÁRIO DE BRASÍLIA (UNICEUB)";"Brasília";"DF"
"000087";"CENTRO UNIVERSITÁRIO DE BRUSQUE (UNIFEBE)";"Brusque";"SC"
"003966";"CENTRO UNIVERSITÁRIO DE CARATINGA (UNEC)";"Caratinga";"MG"
"000826";"CENTRO UNIVERSITÁRIO DE DESENVOLVIMENTO DO CENTRO OESTE (UNIDESC)";"Luziânia";"GO"
"000668";"CENTRO UNIVERSITÁRIO DE ENSINO SUPERIOR DO AMAZONAS (CIESA)";"Manaus";"AM"
"003983";"CENTRO UNIVERSITÁRIO DE FORMIGA (UNIFORMG)";"Formiga";"MG"
"000386";"CENTRO UNIVERSITÁRIO DE GOIÁS (UNI-ANHANGÜERA)";"Goiânia";"GO"
"001869";"CENTRO UNIVERSITÁRIO DE ITAJUBÁ (FEPI)";"Itajubá";"MG"
"001434";"Centro Universitário de Itapira (Ceunit)";"Itapira";"SP"
"001490";"CENTRO UNIVERSITÁRIO DE JAGUARIÚNA (FAJ)";"Jaguariúna";"SP"
"001224";"CENTRO UNIVERSITÁRIO DE JALES (UNIJALES)";"Jales";"SP"
"000352";"CENTRO UNIVERSITÁRIO DE JOÃO PESSOA (UNIPÊ)";"João Pessoa";"PB"
"003372";"CENTRO UNIVERSITÁRIO DE LAVRAS (UNILAVRAS)";"Lavras";"MG"
"001846";"CENTRO UNIVERSITÁRIO DE LINS (UNILINS)";"Lins";"SP"
"000535";"CENTRO UNIVERSITÁRIO DE MANDAGUARI - UNIMAN (FAFIMAN)";"Mandaguari";"PR"
"001196";"CENTRO UNIVERSITÁRIO DE MARINGÁ - UNICESUMAR (UNICESUMAR)";"Maringá";"PR"
"004396";"CENTRO UNIVERSITÁRIO DE MINEIROS (UNIFIMES)";"Mineiros";"GO"
"003371";"CENTRO UNIVERSITÁRIO DE PATOS DE MINAS (UNIPAM)";"Patos de Minas";"MG"
"000146";"CENTRO UNIVERSITÁRIO DE RIO PRETO (UNIRP)";"São José do Rio Preto";"SP"
"002085";"CENTRO UNIVERSITÁRIO DE SALVADOR (Ceusa)";"Salvador";"BA"
"000254";"CENTRO UNIVERSITÁRIO DE SÃO PAULO - UNI SÃO PAULO";"São Paulo";"SP"
"004962";"CENTRO UNIVERSITÁRIO DE SETE LAGOAS (UNIFEMM)";"Sete Lagoas";"MG"
"000649";"CENTRO UNIVERSITÁRIO DE UNIÃO DA VITÓRIA (UNIUV)";"União da Vitória";"PR"
"000794";"CENTRO UNIVERSITÁRIO DE VÁRZEA GRANDE (UNIVAG)";"Várzea Grande";"MT"
"000489";"CENTRO UNIVERSITÁRIO DE VOLTA REDONDA (UNIFOA)";"Volta Redonda";"RJ"
"000222";"CENTRO UNIVERSITÁRIO DE VOTUPORANGA (UNIFEV)";"Votuporanga";"SP"
"001396";"Centro Universitário Dinâmica das Cataratas (UDC)";"Foz do Iguaçu";"PR"
"001450";"CENTRO UNIVERSITÁRIO DO CERRADO-PATROCÍNIO (UNICERP)";"Patrocínio";"MG"
"000518";"CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL (UDF)";"Brasília";"DF"
"001559";"CENTRO UNIVERSITÁRIO DO ESPÍRITO SANTO (UNESC)";"Colatina";"ES"
"000792";"CENTRO UNIVERSITÁRIO DO ESTADO DO PARÁ (CESUPA)";"Belém";"PA"
"001060";"CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB (IESB)";"Brasília";"DF"
"001445";"CENTRO UNIVERSITÁRIO DO INSTITUTO MAUÁ DE TECNOLOGIA (CEUN-IMT)";"São Caetano do Sul";"SP"
"000878";"CENTRO UNIVERSITÁRIO DO LESTE DE MINAS GERAIS (UNILESTEMG)";"Coronel Fabriciano";"MG"
"001422";"CENTRO UNIVERSITÁRIO DO NORTE (UNINORTE)";"Manaus";"AM"
"001575";"CENTRO UNIVERSITÁRIO DO PLANALTO DE ARAXÁ (UNIARAXÁ)";"Araxá";"MG"
"000516";"CENTRO UNIVERSITÁRIO DO RIO DE JANEIRO (UNIRJ)";"Rio de Janeiro";"RJ"
"001264";"CENTRO UNIVERSITÁRIO DO RIO GRANDE DO NORTE (UNI-RN)";"Natal";"RN"
"001805";"CENTRO UNIVERSITÁRIO DOS GUARARAPES (UNIFG)";"Jaboatão dos Guararapes";"PE"
"003368";"CENTRO UNIVERSITÁRIO DO SUL DE MINAS (UNIS-MG)";"Varginha";"MG"
"000142";"CENTRO UNIVERSITÁRIO DO TRIÂNGULO (UNITRI)";"Uberlândia";"MG"
"001735";"CENTRO UNIVERSITÁRIO DOUTOR LEÃO SAMPAIO (UNILEÃO)";"Juazeiro do Norte";"CE"
"003294";"Centro Universitário Eniac (ENIAC)";"Guarulhos";"SP"
"000267";"CENTRO UNIVERSITÁRIO ESPÍRITO-SANTENSE/FAESA";"Vitória";"ES"
"001702";"CENTRO UNIVERSITÁRIO ESTÁCIO DA AMAZÔNIA (ESTÁCIO AMAZÔNIA)";"Boa Vista";"RR"
"001509";"Centro Universitário Estácio de Belo Horizonte - Estácio BH (ESTÁCIO BH)";"Belo Horizonte";"MG"
"001660";"CENTRO UNIVERSITÁRIO ESTÁCIO DE BRASÍLIA - ESTÁCIO BRASÍLIA (ESTÁCIO BRASÍLIA)";"Brasília";"DF"
"001270";"CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO (ESTÁCIO RIBEIRÃO PRE)";"Ribeirão Preto";"SP"
"001510";"CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA";"São José";"SC"
"000793";"Centro Universitário Estácio de São Paulo (ESTÁCIO SÃO PAULO)";"São Paulo";"SP"
"001107";"Centro Universitário Estácio do Ceará (Estácio FIC)";"Fortaleza";"CE"
"001077";"Centro Universitário Estácio do Recife";"Recife";"PE"
"001986";"CENTRO UNIVERSITÁRIO ESTÁCIO JUIZ DE FORA - ESTÁCIO JUIZ DE FORA";"Juiz de Fora";"MG"
"005013";"CENTRO UNIVERSITÁRIO ESTADUAL DA ZONA OESTE (UEZO)";"Rio de Janeiro";"RJ"
"003529";"CENTRO UNIVERSITÁRIO EURÍPEDES DE MARÍLIA (UNIVEM)";"Marília";"SP"
"001113";"CENTRO UNIVERSITÁRIO EURO-AMERICANO (UNIEURO)";"Brasília";"DF"
"001879";"Centro Universitário FACEAR";"Araucária";"PR"
"000724";"Centro Universitário FACEX (UNIFACEX)";"Natal";"RN"
"001334";"CENTRO UNIVERSITÁRIO FACISA";"Campina Grande";"PB"
"003840";"CENTRO UNIVERSITÁRIO FACVEST (UNIFACVEST)";"Lages";"SC"
"002950";"Centro Universitário FADERGS (FADERGS)";"Porto Alegre";"RS"
"001773";"CENTRO UNIVERSITÁRIO FAI";"Itapiranga";"SC"
"001913";"CENTRO UNIVERSITÁRIO FAMINAS (UNIFAMINAS)";"Muriaé";"MG"
"001772";"Centro Universitário Fanor Wyden (UNIFANOR WYDEN)";"Fortaleza";"CE"
"001819";"CENTRO UNIVERSITÁRIO FARIAS BRITO";"Fortaleza";"CE"
"001775";"CENTRO UNIVERSITÁRIO FAVIP WYDEN (UNIFAVIP WYDEN)";"Caruaru";"PE"
"001255";"Centro Universitário FBV Wyden (UniFBV WYDEN)";"Recife";"PE"
"002023";"Centro Universitário FG (UNIFG)";"Guanambi";"BA"
"000244";"CENTRO UNIVERSITÁRIO FIEO (UNIFIEO)";"Osasco";"SP"
"000430";"CENTRO UNIVERSITÁRIO FILADÉLFIA (UNIFIL)";"Londrina";"PR"
"004030";"CENTRO UNIVERSITÁRIO FLUMINENSE (UNIFLU)";"Campos dos Goytacazes";"RJ"
"001836";"CENTRO UNIVERSITÁRIO FUNDAÇÃO DE ENSINO OCTÁVIO BASTOS - FEOB (UNIFEOB)";"São João da Boa Vista";"SP"
"002183";"CENTRO UNIVERSITÁRIO FUNDAÇÃO SANTO ANDRÉ (CUFSA)";"Santo André";"SP"
"001542";"CENTRO UNIVERSITÁRIO GERALDO DI BIASE (UGB)";"Volta Redonda";"RJ"
"001043";"CENTRO UNIVERSITÁRIO HERMINIO OMETTO (UNIARARAS)";"Araras";"SP"
"001030";"Centro Universitário IBMEC";"Rio de Janeiro";"RJ"
"000712";"CENTRO UNIVERSITÁRIO IBMR";"Rio de Janeiro";"RJ"
"001853";"Centro Universitário IBTA";"São Paulo";"SP"
"001430";"CENTRO UNIVERSITÁRIO INGÁ";"Maringá";"PR"
"002111";"CENTRO UNIVERSITÁRIO INTA (UNINTA)";"Sobral";"CE"
"001078";"CENTRO UNIVERSITÁRIO INTEGRADO DE CAMPO MOURÃO";"Campo Mourão";"PR"
"001491";"CENTRO UNIVERSITÁRIO INTERNACIONAL (UNINTER)";"Curitiba";"PR"
"000206";"CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO (UNIÍTALO)";"São Paulo";"SP"
"004118";"Centro Universitário Joaquim Nabuco de Paulista (UNINABUCO PAULISTA)";"Paulista";"PE"
"004153";"Centro Universitário Joaquim Nabuco de Recife (UNINABUCO RECIFE)";"Recife";"PE"
"001185";"CENTRO UNIVERSITÁRIO JORGE AMADO (UNIJORGE)";"Salvador";"BA"
"001736";"CENTRO UNIVERSITÁRIO LA SALLE DO RIO DE JANEIRO (UNILASALLE/RJ)";"Niterói";"RJ"
"001472";"CENTRO UNIVERSITÁRIO LEONARDO DA VINCI (UNIASSELVI)";"Indaial";"SC"
"000226";"CENTRO UNIVERSITÁRIO LUSÍADA (UNILUS)";"Santos";"SP"
"000450";"CENTRO UNIVERSITÁRIO LUTERANO DE JI-PARANÁ (CEULJI/ULBRA)";"Ji-Paraná";"RO"
"000452";"CENTRO UNIVERSITÁRIO LUTERANO DE MANAUS (CEULM/ULBRA)";"Manaus";"AM"
"000453";"CENTRO UNIVERSITÁRIO LUTERANO DE PALMAS (CEULP)";"Palmas";"TO"
"000451";"CENTRO UNIVERSITÁRIO LUTERANO DE SANTARÉM (CEULS)";"Santarém";"PA"
"002835";"CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU (UNINASSAU)";"Recife";"PE"
"003879";"Centro Universitário Maurício de Nassau de Campina Grande (UNINASSAU CPV)";"Campina Grande";"PB"
"001504";"CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE MACEIÓ (UNINASSAU MACEIÓ)";"Maceió";"AL"
"004010";"CENTRO UNIVERSITÁRIO METODISTA (IPA)";"Porto Alegre";"RS"
"000216";"CENTRO UNIVERSITÁRIO METODISTA IZABELA HENDRIX (CEUNIH)";"Belo Horizonte";"MG"
"002279";"Centro Universitário Metrocamp Wyden (UNIMETROCAMP WYDEN)";"Campinas";"SP"
"001508";"Centro Universitário Metropolitano de Maringá (UNIFAMMA)";"Maringá";"PR"
"000483";"CENTRO UNIVERSITÁRIO METROPOLITANO DE SÃO PAULO (UNIMESP)";"Guarulhos";"SP"
"001187";"CENTRO UNIVERSITÁRIO MÓDULO (MÓDULO)";"Caraguatatuba";"SP"
"000207";"CENTRO UNIVERSITÁRIO MOURA LACERDA (CUML)";"Ribeirão Preto";"SP"
"000060";"CENTRO UNIVERSITÁRIO MUNICIPAL DE FRANCA (UNI-FACEF)";"Franca";"SP"
"004756";"CENTRO UNIVERSITÁRIO MUNICIPAL DE SÃO JOSÉ (USJ)";"São José";"SC"
"000343";"CENTRO UNIVERSITÁRIO NEWTON PAIVA (NEWTON PAIVA)";"Belo Horizonte";"MG"
"001149";"CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO (CEUNSP)";"Salto";"SP"
"005403";"CENTRO UNIVERSITÁRIO OPET (Uniopet)";"Curitiba";"PR"
"005215";"CENTRO UNIVERSITÁRIO PADRE ALBINO";"Catanduva";"SP"
"004017";"CENTRO UNIVERSITÁRIO PADRE ANCHIETA (UNIANCHIETA)";"Jundiaí";"SP"
"000080";"CENTRO UNIVERSITÁRIO PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAÍ (UNIDAVI)";"Rio do Sul";"SC"
"000360";"CENTRO UNIVERSITÁRIO PAULISTANO (UNIPAULISTANA)";"São Paulo";"SP"
"001446";"CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL - UNIPLAN (UNIPLAN)";"Brasília";"DF"
"001599";"CENTRO UNIVERSITÁRIO PRESIDENTE TANCREDO DE ALMEIDA NEVES (UNIPTAN)";"São João del Rei";"MG"
"002571";"CENTRO UNIVERSITÁRIO REDENTOR (FACREDENTOR)";"Itaperuna";"RJ"
"002076";"Centro Universitário Regional do Brasil";"Salvador";"BA"
"000448";"CENTRO UNIVERSITÁRIO RITTER DOS REIS (UNIRITTER)";"Porto Alegre";"RS"
"001032";"CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO (UNISAL)";"Americana";"SP"
"000456";"CENTRO UNIVERSITÁRIO SANT´ANNA (UNISANT'ANNA)";"São Paulo";"SP"
"000898";"CENTRO UNIVERSITÁRIO SANTA RITA (UNISANTARITA)";"São Paulo";"SP"
"001131";"CENTRO UNIVERSITÁRIO SANTO AGOSTINHO (UNIFSA)";"Teresina";"PI"
"000737";"CENTRO UNIVERSITÁRIO SÃO CAMILO (SAO CAMILO)";"São Paulo";"SP"
"000739";"CENTRO UNIVERSITÁRIO SÃO CAMILO - ESPÍRITO SANTO (SÃO CAMILO-ES)";"Cachoeiro de Itapemirim";"ES"
"005671";"CENTRO UNIVERSITÁRIO SÃO JOSÉ DE ITAPERUNA";"Itaperuna";"RJ"
"000502";"CENTRO UNIVERSITÁRIO SÃO JUDAS TADEU (CSJT)";"Santos";"SP"
"001414";"CENTRO UNIVERSITÁRIO SÃO LUCAS (UniSL)";"Porto Velho";"RO"
"003985";"CENTRO UNIVERSITÁRIO SENAC (SENACSP)";"São Paulo";"SP"
"003962";"CENTRO UNIVERSITÁRIO SENAI CIMATEC (SENAI CIMATEC)";"Salvador";"BA"
"000480";"CENTRO UNIVERSITÁRIO SERRA DOS ÓRGÃOS (UNIFESO)";"Teresópolis";"RJ"
"001556";"CENTRO UNIVERSITÁRIO SETE DE SETEMBRO (UNI7)";"Fortaleza";"CE"
"001351";"CENTRO UNIVERSITÁRIO SOCIESC";"Joinville";"SC"
"004045";"Centro Universitário SOCIESC de Curitiba (UNISOCIESC)";"Curitiba";"PR"
"001317";"Centro Universitário Sudoeste Paulista (UniFSP)";"Avaré";"SP"
"002409";"CENTRO UNIVERSITÁRIO TABOSA DE ALMEIDA (ASCES-UNITA)";"Caruaru";"PE"
"000738";"CENTRO UNIVERSITÁRIO TERESA D'ÁVILA (FATEA)";"Lorena";"SP"
"004530";"CENTRO UNIVERSITÁRIO TIRADENTES (FITS)";"Maceió";"AL"
"001709";"Centro Universitário Tiradentes de Pernambuco (UNIT PE)";"Recife";"PE"
"004849";"Centro Universitário Tocantinense Presidente Antônio Carlos (UNITPAC)";"Araguaína";"TO"
"001418";"CENTRO UNIVERSITÁRIO TOLEDO (UNITOLEDO)";"Araçatuba";"SP"
"000344";"CENTRO UNIVERSITÁRIO UNA (UNA)";"Belo Horizonte";"MG"
"015452";"CENTRO UNIVERSITÁRIO UNA DE BOM DESPACHO (UNA)";"Bom Despacho";"MG"
"001233";"CENTRO UNIVERSITÁRIO UNIC";"Cuiabá";"MT"
"000802";"CENTRO UNIVERSITÁRIO UNICARIOCA (UNICARIOCA)";"Rio de Janeiro";"RJ"
"001640";"CENTRO UNIVERSITÁRIO UNICENTRO AGES";"Paripiranga";"BA"
"001487";"CENTRO UNIVERSITÁRIO UNIDOM - BOSCO (UNIDOM - BOSCO)";"Curitiba";"PR"
"005312";"Centro Universitário UNIFAAT";"Atibaia";"SP"
"002774";"Centro Universitário UNIFAFIBE (FAFIBE)";"Bebedouro";"SP"
"003333";"CENTRO UNIVERSITÁRIO UNIFTEC";"Caxias do Sul";"RS"
"001666";"CENTRO UNIVERSITÁRIO UNIHORIZONTES";"Belo Horizonte";"MG"
"001055";"Centro Universitário Uninassau de Salvador (UNINASSAU)";"Salvador";"BA"
"001563";"CENTRO UNIVERSITÁRIO UNINOVAFAPI (UNINOVAFAPI)";"Teresina";"PI"
"000750";"CENTRO UNIVERSITÁRIO UNIRG (UNIRG)";"Gurupi";"TO"
"000918";"CENTRO UNIVERSITÁRIO UNIVEL";"Cascavel";"PR"
"000610";"CENTRO UNIVERSITÁRIO UNIVERSUS VERITAS (UNIVERITAS)";"Rio de Janeiro";"RJ"
"003042";"CHRISTUS FACULDADE DO PIAUÍ (CHRISFAPI)";"Piripiri";"PI"
"018065";"CISNE - FACULDADE DE QUIXADÁ (CFQ)";"Quixadá";"CE"
"018067";"CISNE - Faculdade Tecnológica de Quixadá (CFTQ)";"Quixadá";"CE"
"001854";"CLARETIANO - FACULDADE - CLARETIANORC (CLARETIANORC)";"Rio Claro";"SP"
"000158";"CONSERVATÓRIO BRASILEIRO DE MÚSICA - CENTRO UNIVERSITÁRIO (CBM/CEU)";"Rio de Janeiro";"RJ"
"000281";"CONSERVATÓRIO DRAMÁTICO MUSICAL SÃO PAULO (CDMSP)";"São Paulo";"SP"
"019476";"EMGE - ESCOLA DE ENGENHARIA";"Belo Horizonte";"MG"
"000534";"ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA (EBMSP)";"Salvador";"BA"
"001851";"ESCOLA BRASILEIRA DE ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS (EBAPE)";"Rio de Janeiro";"RJ"
"002591";"ESCOLA BRASILEIRA DE ECONOMIA E FINANÇAS (EBEF)";"Rio de Janeiro";"RJ"
"018035";"Escola Brasileira de Medicina Chinesa (EBRAMEC)";"São Paulo";"SP"
"001828";"ESCOLA DA CIDADE - FACULDADE DE ARQUITETURA E URBANISMO (ESCOLA DA CIDADE)";"São Paulo";"SP"
"000151";"ESCOLA DE ADMINISTRAÇÃO DE EMPRESAS DE SÃO PAULO (FGV-EAESP)";"São Paulo";"SP"
"003614";"ESCOLA DE CIÊNCIAS SOCIAIS";"Rio de Janeiro";"RJ"
"002128";"Escola de Direito de São Paulo - FGV DIREITO SP (FGV DIREITO SP)";"São Paulo";"SP"
"002126";"ESCOLA DE DIREITO DO RIO DE JANEIRO (DIREITO RIO)";"Rio de Janeiro";"RJ"
"012247";"Escola de Direito e de Administração Pública do IDP (EDAP)";"Brasília";"DF"
