"codigo";"instituicao";"municipio";"uf"
"003691";"FACULDADE DE TECNOLOGIA TUPY DE SÃO BENTO DO SUL (FTT-SBS)";"São Bento do Sul";"SC"
"004026";"FACULDADE DE TECNOLOGIA ZONA LESTE (FATEC-ZL)";"São Paulo";"SP"
"013073";"FACULDADE DE TECNOOLOGIA AEROTD (FATECAEROTD)";"Florianópolis";"SC"
"015688";"FACULDADE DE TECONOLOGIA DA ZONA SUL (FATEC ZONASUL)";"São Paulo";"SP"
"001536";"FACULDADE DE TELÊMACO BORBA (FATEB)";"Telêmaco Borba";"PR"
"018033";"FACULDADE DE TEODORO SAMPAIO (FTS)";"Teodoro Sampaio";"SP"
"002578";"FACULDADE DE TEOLOGIA CARDEAL EUGÊNIO SALES (FCS)";"Caicó";"RN"
"013014";"FACULDADE DE TEOLOGIA DA ARQUIDIOCESE DE BRASÍLIA (FATEO)";"Brasília";"DF"
"002104";"FACULDADE DE TEOLOGIA DE HOKEMÃH (FATEH)";"Vitória do Mearim";"MA"
"005048";"FACULDADE DE TEOLOGIA DE SÃO PAULO DA IGREJA PRESBITERIANA INDEPENDENTE DO BRASIL";"São Paulo";"SP"
"014194";"FACULDADE DE TEOLOGIA E CIÊNCIAS (FATEC)";"Votuporanga";"SP"
"002069";"FACULDADE DE TEOLOGIA E CIÊNCIAS HUMANAS (FATECH)";"Macapá";"AP"
"010071";"FACULDADE DE TEOLOGIA E CIÊNCIAS HUMANAS (ITEPAFACULDADES)";"Passo Fundo";"RS"
"003536";"FACULDADE DE TEOLOGIA EVANGÉLICA EM CURITIBA - FATEV (FATEV)";"Curitiba";"PR"
"002548";"FACULDADE DE TEOLOGIA, FILOSOFIA E CIÊNCIAS HUMANAS GAMALIEL (FATEFIG)";"Tucuruí";"PA"
"019171";"Faculdade de Teologia Fortaleza - FATEFOR (FATEFOR)";"Fortaleza";"CE"
"003376";"FACULDADE DE TEOLOGIA INTEGRADA (FATIN)";"Igarassu";"PE"
"002846";"FACULDADE DE TEOLOGIA UMBANDISTA (F.T.U.)";"São Paulo";"SP"
"004293";"FACULDADE DE TIETÊ";"Tietê";"SP"
"000270";"FACULDADE DE TUPÃ";"Tupã";"SP"
"002205";"FACULDADE DE TUPI PAULISTA (-)";"Tupi Paulista";"SP"
"001769";"FACULDADE DE TURISMO DE CARATINGA (FATUR)";"Caratinga";"MG"
"001938";"FACULDADE DE UMUARAMA";"Umuarama";"PR"
"005663";"FACULDADE DE VARGEM GRANDE PAULISTA";"Vargem Grande Paulista";"SP"
"001721";"FACULDADE DE VIÇOSA (FDV)";"Viçosa";"MG"
"001516";"FACULDADE DE VINHEDO (FV)";"Vinhedo";"SP"
"001652";"FACULDADE DE VITÓRIA";"Vitória";"ES"
"018509";"FACULDADE DF (FDF)";"Brasília";"DF"
"002257";"FACULDADE DIADEMA (FAD)";"Diadema";"SP"
"010846";"FACULDADE DINÂMICA (UDC)";"Maringá";"PR"
"002636";"FACULDADE DINÂMICA DO VALE DO PIRANGA (FADIP)";"Ponte Nova";"MG"
"004847";"FACULDADE DIOCESANA DE MOSSORÓ";"Mossoró";"RN"
